filename,clot
5M15_06.05.2022_14.42.56_2.0x-1.png,TRUE
5M15_06.05.2022_14.42.56_2.0x-2.png,TRUE
5M16_06.05.2022_14.46.37_2.0x-1.png,TRUE
5M17_06.05.2022_14.50.17_2.0x-2.png,TRUE
5M19_06.05.2022_14.57.46_1.6x-2.png,TRUE
5M19_06.05.2022_14.57.46_1.8x-1.png,TRUE
5M20_06.05.2022_15.00.52_2.5x-1.png,TRUE
5M20_06.05.2022_15.00.52_3.0x-2.png,FALSE
5M21_06.05.2022_15.03.17_3.0x-2.png,TRUE
5M23_06.05.2022_15.08.59_2.6x-2.png,TRUE
5M23_06.05.2022_15.08.59_3.0x-1.png,TRUE
5M24_06.05.2022_15.12.06_2.0x-1.png,TRUE
5M24_06.05.2022_15.12.06_2.5x-2.png,TRUE
5M25_06.05.2022_15.15.10_2.8x-2.png,TRUE
5M25_06.05.2022_15.15.10_3.0x-1.png,TRUE
6M01_06.05.2022_15.18.23_3.5x-1.png,FALSE
6M03_06.05.2022_15.24.15_4.0x-2.png,TRUE
R1-S14-2021-06-21T12-00-14-1.png,TRUE
R1-S14-2021-06-21T12-00-14.png,TRUE
R1-S15-2021-06-21T12-01-29_2.0x-2.png,FALSE
R1-S15-2021-06-21T12-01-29_2.0x.png,FALSE
R1-S17-2021-06-21T12-04-00.png,FALSE
R1-S18-2021-06-21T12-05-15.png,TRUE
R1-S19-2021-06-21T12-06-26.png,TRUE
R1-S20-2021-06-21T12-07-59_2.0x-2.png,TRUE
R1-S22-2021-06-21T12-10-22_2.0x-2.png,TRUE
R1-S22-2021-06-21T12-10-22_2.0x.png,TRUE
R2-S10-2021-06-21T12-27-46.png,TRUE
R2-S11-2021-06-21T12-28-54.png,TRUE
R2-S2-2021-06-21T12-17-48_2.0x-2.png,TRUE
R2-S2-2021-06-21T12-17-48_2.0x.png,TRUE
R2-S5-2021-06-21T12-21-45.png,FALSE
R2-S6-2021-06-21T12-23-03.png,TRUE
R2-S8-2021-06-21T12-25-24.png,FALSE
